iterations php
. 0.994426458329
. 0.994484617025
. 0.994552468837
. 0.994678479344
. 0.994717251808
. 0.99473663804
. 0.994746331156
. 0.994746331156
. 0.994746331156
10 0.994794796735
. 0.994794796735
. 0.994794796735
. 0.994794796735
. 0.994794796735
. 0.994794796735
. 0.994794796735
. 0.994814182967
. 0.994814182967
. 0.994814182967
20 0.994814182967
. 0.994891727895
. 0.994891727895
. 0.994891727895
. 0.994891727895
. 0.994891727895
. 0.994891727895
. 0.994891727895
. 0.994891727895
. 0.994891727895
30 0.994891727895
. 0.994891727895
. 0.994901421011
. 0.994901421011
. 0.994901421011
. 0.994901421011
. 0.994901421011
. 0.994988659054
. 0.994988659054
. 0.994988659054
40 0.994988659054
. 0.994988659054
. 0.994988659054
. 0.994988659054
. 0.994988659054
. 0.994988659054
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
50 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
60 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
70 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
80 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995017738402
. 0.995153442025
. 0.995230986953
. 0.995230986953
. 0.995230986953
. 0.995230986953
. 0.995230986953
90 0.995230986953
. 0.995230986953
. 0.995230986953
. 0.995230986953
. 0.995230986953
. 0.99540546304
. 0.99540546304
. 0.995424849272
. 0.9955023942
. 0.995599325359
100 0.99576410833
