iterations mongo
. 0.994909180539
. 0.995070342422
. 0.995117742975
. 0.995136703197
. 0.995136703197
. 0.995136703197
. 0.995146183307
. 0.995146183307
. 0.995146183307
10 0.995155663418
. 0.995155663418
. 0.995165143529
. 0.995165143529
. 0.995165143529
. 0.995278904858
. 0.995278904858
. 0.995278904858
. 0.995278904858
. 0.995278904858
20 0.995430586629
. 0.995449546851
. 0.995449546851
. 0.995449546851
. 0.995449546851
. 0.995449546851
. 0.995487467294
. 0.995487467294
. 0.995496947404
. 0.995496947404
30 0.995496947404
. 0.995496947404
. 0.995496947404
. 0.995496947404
. 0.995544347958
. 0.995544347958
. 0.995544347958
. 0.995544347958
. 0.995544347958
. 0.995544347958
40 0.995544347958
. 0.995544347958
. 0.995544347958
. 0.995544347958
. 0.995544347958
. 0.995544347958
. 0.99557278829
. 0.99557278829
. 0.99557278829
. 0.99557278829
50 0.99557278829
. 0.99557278829
. 0.99569602973
. 0.995714989951
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
60 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
70 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
. 0.995733950173
80 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
90 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995743430283
. 0.995752910394
. 0.995762390505
. 0.995781350726
. 0.995809791058
. 0.995895112055
. 0.996046793827
100 0.99621743582
