iterations traefik
. 0.994817155408
. 0.99494239143
. 0.99494239143
. 0.995009826211
. 0.995086894532
. 0.995086894532
. 0.995096528072
. 0.995221764094
. 0.995221764094
10 0.995221764094
. 0.995221764094
. 0.995241031174
. 0.995241031174
. 0.995269931795
. 0.995269931795
. 0.995269931795
. 0.995269931795
. 0.995289198875
. 0.995289198875
20 0.995289198875
. 0.995289198875
. 0.995289198875
. 0.995298832415
. 0.995298832415
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
30 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
40 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995347000116
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
50 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
. 0.995366267196
60 0.995366267196
. 0.995395167816
. 0.995395167816
. 0.995395167816
. 0.995395167816
. 0.995395167816
. 0.995395167816
. 0.995395167816
. 0.995395167816
. 0.995395167816
70 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
80 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995424068437
. 0.995501136758
. 0.995501136758
. 0.995587838619
. 0.995587838619
90 0.995597472159
. 0.995597472159
. 0.995597472159
. 0.995597472159
. 0.995607105699
. 0.995616739239
. 0.995626372779
. 0.99564563986
. 0.99568417402
. 0.995722708181
100 0.995876844823
