iterations python
. 0.997337375858
. 0.998163372398
. 0.99821196043
. 0.998221678036
. 0.998377159738
. 0.998377159738
. 0.998377159738
. 0.998386877344
. 0.998396594951
10 0.998406312557
. 0.998406312557
. 0.998406312557
. 0.998406312557
. 0.998416030163
. 0.998416030163
. 0.998435465376
. 0.998435465376
. 0.998445182983
. 0.998445182983
20 0.998445182983
. 0.99853264144
. 0.99853264144
. 0.998610382291
. 0.998688123142
. 0.998688123142
. 0.998688123142
. 0.998688123142
. 0.998707558354
. 0.998707558354
30 0.998736711173
. 0.998872757662
. 0.998911628088
. 0.998911628088
. 0.9989310633
. 0.9989310633
. 0.9989310633
. 0.9989310633
. 0.9989310633
. 0.9989310633
40 0.9989310633
. 0.998940780907
. 0.998940780907
. 0.99896021612
. 0.99896021612
. 0.998979651332
. 0.998979651332
. 0.998979651332
. 0.998979651332
. 0.998979651332
50 0.998979651332
. 0.998979651332
. 0.998999086545
. 0.998999086545
. 0.998999086545
. 0.998999086545
. 0.998999086545
. 0.998999086545
. 0.998999086545
. 0.998999086545
60 0.998999086545
. 0.999028239364
. 0.999028239364
. 0.999028239364
. 0.99903795697
. 0.99903795697
. 0.99903795697
. 0.99903795697
. 0.99903795697
. 0.999115697821
70 0.999115697821
. 0.999115697821
. 0.999115697821
. 0.999115697821
. 0.999115697821
. 0.999115697821
. 0.999115697821
. 0.999203156279
. 0.999203156279
. 0.999203156279
80 0.999203156279
. 0.999212873885
. 0.999212873885
. 0.999212873885
. 0.999212873885
. 0.999212873885
. 0.999212873885
. 0.999212873885
. 0.999212873885
. 0.999212873885
90 0.999222591491
. 0.999242026704
. 0.999261461917
. 0.999280897129
. 0.999319767555
. 0.99935863798
. 0.999446096438
. 0.999552990107
. 0.999689036597
. 0.999825083086
100 1.0
