iterations php
. 0.997540967673
. 0.997647882122
. 0.997842272029
. 0.99786171102
. 0.998464319733
. 0.998493478219
. 0.998678148631
. 0.998678148631
. 0.998687868126
10 0.998687868126
. 0.998726746107
. 0.998775343584
. 0.998775343584
. 0.998775343584
. 0.998775343584
. 0.998775343584
. 0.99878506308
. 0.99878506308
. 0.998814221566
20 0.998814221566
. 0.998814221566
. 0.998814221566
. 0.998833660556
. 0.998833660556
. 0.998833660556
. 0.998833660556
. 0.998833660556
. 0.998833660556
. 0.998833660556
30 0.998853099547
. 0.998853099547
. 0.998853099547
. 0.998853099547
. 0.998853099547
. 0.998853099547
. 0.998853099547
. 0.998853099547
. 0.998853099547
. 0.99893085551
40 0.99893085551
. 0.998969733491
. 0.998969733491
. 0.998969733491
. 0.998979452987
. 0.998979452987
. 0.998998891978
. 0.998998891978
. 0.998998891978
. 0.998998891978
50 0.998998891978
. 0.998998891978
. 0.998998891978
. 0.998998891978
. 0.998998891978
. 0.999134964913
. 0.999134964913
. 0.999134964913
. 0.999134964913
. 0.999212720876
60 0.999212720876
. 0.999212720876
. 0.999212720876
. 0.999212720876
. 0.999387671792
. 0.999387671792
. 0.999387671792
. 0.999387671792
. 0.99947514725
. 0.99947514725
70 0.99947514725
. 0.99947514725
. 0.99947514725
. 0.99947514725
. 0.99947514725
. 0.99947514725
. 0.99947514725
. 0.999514025232
. 0.999514025232
. 0.999514025232
80 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
90 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999543183718
. 0.999562622709
. 0.999591781195
. 0.999620939681
. 0.999659817662
. 0.999737573625
. 0.999834768579
100 1.0
