iterations nginx
. 0.995572933801
. 0.995845513248
. 0.996494064348
. 0.99709561899
. 0.997133216156
. 0.997133216156
. 0.997161414029
. 0.997180212612
. 0.997199011195
10 0.997199011195
. 0.997199011195
. 0.997199011195
. 0.997199011195
. 0.997293004107
. 0.997293004107
. 0.997340000564
. 0.997340000564
. 0.997377597729
. 0.997377597729
20 0.997377597729
. 0.997377597729
. 0.997377597729
. 0.997415194894
. 0.997415194894
. 0.997415194894
. 0.997415194894
. 0.997415194894
. 0.997415194894
. 0.997415194894
30 0.997518587099
. 0.997687774342
. 0.997687774342
. 0.997687774342
. 0.997687774342
. 0.997875760168
. 0.997875760168
. 0.998204735363
. 0.998204735363
. 0.998580707015
40 0.998975477249
. 0.999050671579
. 0.999088268745
. 0.999088268745
. 0.999088268745
. 0.999088268745
. 0.999088268745
. 0.999107067327
. 0.99912586591
. 0.99912586591
50 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.99912586591
60 0.99912586591
. 0.99912586591
. 0.99912586591
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
70 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
80 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
. 0.999229258114
90 0.999238657405
. 0.999473639688
. 0.999483038979
. 0.99949243827
. 0.999511236853
. 0.999539434727
. 0.999567632601
. 0.999624028348
. 0.999689823387
. 0.999840212048
100 1.0
