iterations python
. 0.9946310546
. 0.995454809761
. 0.995503265947
. 0.995512957184
. 0.996055666466
. 0.996055666466
. 0.996055666466
. 0.996065357704
. 0.996075048941
10 0.996084740178
. 0.996084740178
. 0.996084740178
. 0.996113813889
. 0.996123505127
. 0.996123505127
. 0.996142887601
. 0.996142887601
. 0.996152578838
. 0.996152578838
20 0.996152578838
. 0.996646831935
. 0.996646831935
. 0.996724361832
. 0.996801891729
. 0.996801891729
. 0.996801891729
. 0.996801891729
. 0.996821274204
. 0.996821274204
30 0.996850347915
. 0.996986025236
. 0.997073246371
. 0.997073246371
. 0.997092628845
. 0.997092628845
. 0.997499660807
. 0.997499660807
. 0.997499660807
. 0.997499660807
40 0.997499660807
. 0.997509352044
. 0.997509352044
. 0.997528734518
. 0.997528734518
. 0.997548116993
. 0.997548116993
. 0.997548116993
. 0.997548116993
. 0.997615955653
50 0.997615955653
. 0.997615955653
. 0.997635338127
. 0.997635338127
. 0.997635338127
. 0.997635338127
. 0.997635338127
. 0.997635338127
. 0.997635338127
. 0.997635338127
60 0.998323415967
. 0.998323415967
. 0.998323415967
. 0.998333107204
. 0.998333107204
. 0.998333107204
. 0.998333107204
. 0.998333107204
. 0.998604461846
. 0.998604461846
70 0.998604461846
. 0.998604461846
. 0.998604461846
. 0.998604461846
. 0.998604461846
. 0.998604461846
. 0.99869168298
. 0.99869168298
. 0.99869168298
. 0.99869168298
80 0.998701374217
. 0.998701374217
. 0.998701374217
. 0.998701374217
. 0.998701374217
. 0.998701374217
. 0.998701374217
. 0.998701374217
. 0.998701374217
. 0.998711065455
90 0.998730447929
. 0.998749830403
. 0.998769212878
. 0.999030876282
. 0.99906964123
. 0.999156862365
. 0.999263465974
. 0.999399143295
. 0.999534820615
. 0.999709262884
100 1.0
