iterations mysql
. 0.998110731603
. 0.99818518553
. 0.998957645022
. 0.999050712431
. 0.999050712431
. 0.999069325913
. 0.999115859617
. 0.999115859617
. 0.999115859617
10 0.999125166358
. 0.999134473099
. 0.999218233767
. 0.999227540508
. 0.999227540508
. 0.999227540508
. 0.999227540508
. 0.999227540508
. 0.999227540508
. 0.999227540508
20 0.999227540508
. 0.999227540508
. 0.999236847248
. 0.999236847248
. 0.999236847248
. 0.999236847248
. 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999264767471
30 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999264767471
. 0.999274074212
40 0.999274074212
. 0.999274074212
. 0.999301994435
. 0.999301994435
. 0.999301994435
. 0.999301994435
. 0.99946951577
. 0.99946951577
. 0.99946951577
. 0.99946951577
50 0.99946951577
. 0.99946951577
. 0.99946951577
. 0.99946951577
. 0.99946951577
. 0.999543969697
. 0.999562583179
. 0.999562583179
. 0.999562583179
. 0.999562583179
60 0.999637037106
. 0.999637037106
. 0.999637037106
. 0.999637037106
. 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.999655650588
70 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.999655650588
. 0.99968357081
. 0.99968357081
. 0.99968357081
80 0.99968357081
. 0.99968357081
. 0.99968357081
. 0.99968357081
. 0.999711491033
. 0.999711491033
. 0.999711491033
. 0.999711491033
. 0.999711491033
. 0.999711491033
90 0.999711491033
. 0.999720797774
. 0.999730104515
. 0.999739411256
. 0.999758024737
. 0.999776638219
. 0.999804558442
. 0.999832478664
. 0.999860398887
. 0.99988831911
100 1.0
