iteration 01-ubuntu
1 0.992150
2 0.992570
3 0.993200
4 0.993240
5 0.996660
6 0.996740
7 0.997210
8 0.997240
9 0.997430
10 0.997510
11 0.997550
12 0.997580
13 0.998460
14 0.998560
15 0.998720
16 0.998720
17 0.998720
18 0.998720
19 0.998990
20 0.998990
21 0.999160
22 0.999270
23 0.999720
24 0.999720
25 0.999720
26 0.999720
27 0.999740
28 0.999790
29 0.999790
30 0.999790
31 0.999810
32 0.999830
33 0.999830
34 0.999830
35 0.999830
36 0.999830
37 0.999830
38 0.999830
39 0.999830
40 0.999830
41 0.999830
42 0.999860
43 0.999860
44 0.999890
45 0.999890
46 0.999890
47 1.000000
48 1.000000
49 1.000000
50 1.000000
